path,ssName,ssRegion,ssId,confidence
Dunk Kids (Japan).zip,Dunk Kids,jp,88431,95
Dynamite Headdy (Japan).zip,Dynamite Headdy,jp,13008,97
"Dynamite Headdy (USA, Europe).zip",Dynamite Headdy,"us,eu",13008,97
Earthworm Jim (Europe).zip,Earthworm Jim,eu,12876,96
Earthworm Jim (USA).zip,Earthworm Jim,us,12876,96
"Ecco - The Tides of Time (USA, Europe).zip",Ecco - The Tides Of Time,"us,eu",12901,94
Ecco the Dolphin (Japan).zip,Ecco The Dolphin,jp,12872,91
"Ecco the Dolphin (USA, Europe, Brazil).zip",Ecco The Dolphin,,12872,91
Ecco the Dolphin II (Japan).zip,Ecco The Dolphin,jp,12872,83
"Empire Syndicate (USA, Brazil) (Beta).zip",,,,
"Ernie Els Golf (Europe) (En,Fr,De,Es,It).zip",Ernie Els Golf,eu,46315,93
Eternal Legend - Eien no Densetsu (Japan).zip,Eternal Legend - Eien No Densetsu,jp,46316,96
"Evander Holyfield's 'Real Deal' Boxing (USA, Europe).zip",Evander Holyfield's Real Deal Boxing,"us,eu",13009,96
"Excellent Dizzy Collection, The (Europe).zip","Excellent Dizzy Collection, The",eu,13062,98
F1 - World Championship Edition (Europe).zip,F1 - World Championship Edition,eu,88432,98
"F1~ Formula One (USA, Europe).zip",F1~ Formula One,"us,eu",188995,
"F-15 Strike Eagle (USA, Europe).zip",F-15 Strike Eagle,"us,eu",12974,97
Faceball 2000 (Japan).zip,Faceball 2000,jp,13033,96
"Factory Panic (Europe, Brazil).zip",Factory Panic,,46289,96
"Fantastic Dizzy (Europe) (En,Fr,De,Es,It).zip",Fantastic Dizzy,eu,12984,94
"Fantasy Zone (USA, Brazil).zip",Fantasy Zone,,12909,96
"Fantasy Zone Gear ~ Fantasy Zone (Japan, Europe).zip",Fantasy Zone Gear,,12909,
Fatal Fury Special (Europe).zip,Fatal Fury Special,eu,12925,97
Fatal Fury Special (USA).zip,Fatal Fury Special,us,12925,97
FIFA International Soccer (Japan).zip,Fifa International Soccer,jp,12958,86
"FIFA International Soccer (USA, Europe).zip",Fifa International Soccer,"us,eu",12958,86
"FIFA Soccer 96 (USA, Europe) (En,Fr,De,Es).zip",Fifa Soccer 96,"us,eu",12905,73
"Foreman for Real (Japan, USA).zip",Foreman For Real,"us,jp",13041,91
Frank Thomas Big Hurt Baseball (USA).zip,Frank Thomas Big Hurt Baseball,us,13042,98
Fray - Shugyou Hen (Japan).zip,Fray - Shugyou Hen,jp,88433,97
Fred Couples Golf (Japan).zip,Fred Couples' Golf,jp,88434,94
Fred Couples Golf (USA).zip,Fred Couples' Golf,us,88434,94
Frogger (USA) (Proto).zip,Frogger,us,88435,88
From TV Animation Slam Dunk - Shouri e no Starting 5 (Japan).zip,"From TV Animation - Slam Dunk, Shouri e no Starting 5",jp,88436,94
G-LOC - Air Battle (Japan).zip,G-loc Air Battle,jp,12931,74
G-LOC - Air Battle (Japan) (Rev 1).zip,G-loc Air Battle,jp,12931,72
"G-LOC - Air Battle (USA, Europe, Brazil).zip",G-loc Air Battle,,12931,74
G-Sonic ~ Sonic Blast (World).zip,Sonic Blast,wor,12895,67
Galaga 2 (Europe).zip,Galaga 2,eu,65654,94
Galaga '91 (Japan).zip,Galaga '91,jp,65654,
Gamble Panic (Japan).zip,Gamble Panic,jp,65656,96
Gambler Jiko Chuushinha (Japan).zip,Gambler Jiko Chuushinha,jp,65657,98
Ganbare Gorby! (Japan).zip,Ganbare Gorby!,jp,46289,
"Garfield - Caught in the Act (USA, Europe).zip",Garfield - Caught In The Act,"us,eu",12933,91
Garou Densetsu Special (Japan).zip,Garou Densetsu Special,jp,12925,
Gear Stadium (Japan).zip,Gear Stadium,jp,65658,
Gear Stadium Heiseiban (Japan).zip,Gear Stadium Heiseiban,jp,71578,98
Gear Works (USA).zip,Gear Works,us,46291,95
"George Foreman's KO Boxing (USA, Europe).zip",George Foreman's Ko Boxing,"us,eu",13043,94
GG Aleste (Japan).zip,GG Aleste,jp,12913,
"GG Aleste II ~ Power Strike II (Japan, Europe).zip",Power Strike 2,,12867,58
GG Portrait - Pai Chen (Japan).zip,Gg Portrait - Pai Chan,jp,65659,89
GG Portrait - Yuuki Akira (Japan).zip,Gg Portrait - Yuuki Akira,jp,65660,94
GG Shinobi ~ Shinobi (World) (Rev 1).zip,GG Shinobi,wor,12864,
"GG Shinobi, The (Japan).zip",Shinobi,jp,12864,61
Global Gladiators (Europe).zip,Global Gladiators,eu,12959,97
Gojira - Kaijuu Daishingeki (Japan).zip,Godzilla - Kaijuu no Daishingeki,jp,65661,83
GP Rider (Japan).zip,Gp Rider,jp,65662,82
GP Rider (World).zip,Gp Rider,wor,65662,82
GP Rider (World) (Beta) (1994-01-04).zip,Gp Rider,wor,65662,74
"Greendog - The Beached Surfer Dude! (USA, Brazil).zip",Greendog - The Beached Surfer Dude !,,13044,97
Griffin (Japan).zip,Griffin,jp,65663,93
Gunstar Heroes (Japan).zip,Gunstar Heroes,jp,12956,97
Halley Wars (Japan).zip,Halley Wars,jp,13045,96
"Halley Wars (USA, Europe, Brazil).zip",Halley Wars,,13045,96
Head Buster (Japan).zip,Head Buster,jp,13064,96
Heavy Weight Champ (Japan).zip,Heavy Weight Champ,jp,13043,
"Home Alone (USA, Europe, Brazil).zip",Home Alone,,12960,95
Honoo no Toukyuuji - Dodge Danpei (Japan).zip,Honoo No Toukyuuji - Dodge Danpei,jp,65664,96
Hook (Europe).zip,Hook,eu,12927,89
Hook (USA).zip,Hook,us,12927,89
Hurricanes (Europe).zip,Hurricanes,eu,65665,95
Hyokkori Hyoutan-jima - Hyoutan-jima no Daikoukai (Japan).zip,Hyokkori Hyoutan-jima - Hyoutan-jima No Daikoukai,jp,65666,97
Hyper Pro Yakyuu '92 (Japan).zip,Hyper Pro Yakyuu '92,jp,65667,98
In the Wake of Vampire (Japan).zip,In the Wake of Vampire,jp,12977,
"Incredible Crash Dummies, The ~ Crash Dummy - Slick Bouya no Daichousen (World).zip","Incredible Crash Dummies, The",wor,12991,57
"Incredible Hulk, The (USA, Europe).zip","Incredible Hulk, The","us,eu",13046,98
"Indiana Jones and the Last Crusade (USA, Europe).zip",Indiana Jones And The Last Crusade - The Action Game,"us,eu",12882,76
Iron Man X-O Manowar in Heavy Metal (USA).zip,Iron Man And X-o Manowar In Heavy Metal,us,12946,88
"Itchy & Scratchy Game, The (USA, Europe).zip","Itchy And Scratchy Game, The","us,eu",65669,91
J.League GG Pro-Striker '94 (Japan).zip,J.league Gg Pro Striker '94,jp,65670,87
J.League Soccer - Dream Eleven (Japan).zip,J. League Soccer Dream Eleven,jp,71580,93
James Bond 007 - The Duel (Europe).zip,James Bond 007 - The Duel,eu,46292,98
James Pond 3 - Operation Starfi5h (Europe).zip,James Pond 3 - Operation Starfish,eu,65671,96
James Pond II - Codename RoboCod (Europe).zip,James Pond 2 - Codename - Robocod,eu,46293,88
James Pond II - Codename RoboCod (USA).zip,James Pond 2 - Codename - Robocod,us,46293,88
Jang Pung II (Korea) (Unl).zip,Jang Pung 2,,65672,80
Jeopardy! (USA).zip,Jeopardy!,us,65673,95
Jeopardy! - Sports Edition (USA).zip,Jeopardy! - Sports Edition,us,65674,98
Joe Montana Football (Japan).zip,Joe Montana Football,jp,65675,98
"Joe Montana Football (USA, Europe).zip",Joe Montana Football,"us,eu",65675,98
"Journey from Darkness - Strider Returns (USA, Europe).zip",Journey from Darkness - Strider Returns,"us,eu",12939,99
"Judge Dredd (USA, Europe).zip",Judge Dredd,"us,eu",12915,96
Junction (Japan) (En).zip,Junction,jp,13071,89
Junction (USA).zip,Junction,us,13071,94
"Jungle Book, The (Europe).zip","Jungle Book, The",eu,12904,97
"Jungle Book, The (USA).zip","Jungle Book, The",us,12904,97
Jungle Strike (USA).zip,Jungle Strike,us,65676,96
Jurassic Park (Japan).zip,Jurassic Park,jp,12862,96
"Jurassic Park (USA, Europe, Brazil).zip",Jurassic Park,,12862,96
Kaitou Saint Tail (Japan).zip,Kaitou Saint Tail,jp,65677,97
Kawasaki Superbike Challenge (Europe).zip,Kawasaki Superbike Challenge,eu,65678,98
Kawasaki Superbike Challenge (USA).zip,Kawasaki Superbike Challenge,us,65678,98
Kenyuu Densetsu Yaiba (Japan).zip,Kenyuu Densetsu Yaiba,jp,65679,98
Kick & Rush (Japan).zip,Kick & Rush,jp,65680,
Kinetic Connection (Japan).zip,Kinetic Connection,jp,46294,97
Kishin Douji Zenki (Japan).zip,Kishin Douji Zenki,jp,65681,97
"Klax (USA, Europe).zip",Klax,"us,eu",13017,89
"Krusty's Fun House (USA, Europe).zip",Krusty's Fun House,"us,eu",12950,97
Kuni-chan no Game Tengoku (Japan).zip,Kuni-chan No Game Tengoku,jp,65682,94
Kuni-chan no Game Tengoku Part 2 (Japan).zip,Kuni-chan No Game Tengoku Part 2,jp,65683,95
"Land of Illusion Starring Mickey Mouse (USA, Europe, Brazil).zip",Land Of Illusion Starring Mickey Mouse,,12902,96
Last Action Hero (USA).zip,Last Action Hero,us,12970,97
"Legend of Illusion Starring Mickey Mouse (USA, Europe).zip",Legend Of Illusion Starring Mickey Mouse,"us,eu",12944,96
Lemmings 2 - The Tribes (Europe) (Proto).zip,Lemmings 2 - The Tribes,eu,78378,96
Lemmings (World).zip,Lemmings,wor,12865,94
Lemmings (World) (Beta).zip,Lemmings,wor,12865,89
"Lion King, The (Europe).zip","Lion King ,The",eu,12863,90
"Lion King, The (Japan).zip","Lion King ,The",jp,12863,90
"Lion King, The (USA).zip","Lion King ,The",us,12863,90
"Lost World, The - Jurassic Park (USA).zip","Lost World - Jurassic Park, The",us,108001,86
"Lucky Dime Caper Starring Donald Duck, The (USA, Europe, Brazil).zip","Lucky Dime Caper Starring Donald Duck, The",,12940,99
Lunar - Sanposuru Gakuen (Japan).zip,Lunar - Sanpo-suru Gakuen,jp,46295,96
"Madden 96 (USA, Europe).zip",Madden 96,"us,eu",13047,95
Madden NFL 95 (USA).zip,Madden Nfl 95,us,13023,81
Madou Monogatari A - Dokidoki Vacation (Japan).zip,Madou Monogatari A - Dokidoki Vacation,jp,65684,99
