path,ssName,ssRegion,ssId,confidence
Predator 2 (Europe).zip,Predator 2,eu,923,61
"Prince of Persia (Europe, Brazil).zip",Prince Of Persia,,806,57
"Pro Wrestling (USA, Europe, Brazil).zip",Pro Wrestling,,907,50
"Pro Yakyuu , The - Pennant Race (Japan).zip","Pro Yakyuu Pennant Race, The",jp,172291,68
"Psychic World (Europe, Brazil).zip",Psychic World,,897,55
"Psycho Fox (USA, Europe, Brazil).zip",Psycho Fox,,785,43
"Putt & Putter ~ Minigolf (Europe, Brazil).zip",Putt & Putter,,18512,
"Quartet (USA, Europe).zip",Quartet,"us,eu",998,
R-Type (World).zip,R-type,wor,814,
"R.C. Grand Prix (USA, Europe, Brazil).zip",R.c. Grand Prix,,979,50
Rainbow Islands (Europe).zip,Rainbow Islands - Story Of The Bubble Bobble 2,eu,873,
Rambo - First Blood Part II (USA).zip,Rambo - First Blood Part II,us,793,
"Rambo III (USA, Europe, Brazil).zip",Rambo III,,815,
"Rampage (USA, Europe, Brazil).zip",Rampage,,867,
Rampart (Europe).zip,Rampart,eu,986,52
"Rastan (USA, Europe, Brazil).zip",Rastan,,839,
Reggie Jackson Baseball (USA).zip,Reggie Jackson Baseball,us,974,
"Renegade (Europe, Brazil).zip",Renegade,,941,43
"Rescue Mission (USA, Europe, Brazil).zip",Rescue Mission,,879,52
"Road Rash (Europe, Brazil).zip",Road Rash,,892,46
"RoboCop 3 (Europe, Brazil).zip",Robocop 3,,940,
"RoboCop versus The Terminator (Europe, Brazil).zip",Robocop Versus The Terminator,,819,68
Rocky (World).zip,Rocky,wor,874,
"Running Battle (Europe, Brazil).zip",Running Battle,,44260,57
"Sagaia (Europe, Brazil).zip",Sagaia,,18516,
Satellite 7 (Japan).zip,Satellite 7,jp,44278,65
"Schtroumpfs Autour du Monde, Les (Europe) (En,Fr,De,Es).zip","Schtroumpfs Autour Du Monde, Les",eu,18527,68
"Scramble Spirits (Europe, Brazil).zip",Scramble Spirits,,18520,60
"Sega Chess (Europe, Brazil).zip",Sega Chess,,18522,49
Sega Graphic Board (USA) (v2.0) (Proto).zip,,us,,
"Sega World Tournament Golf (Europe, Brazil).zip",Sega World Tournament Golf,,44279,71
Sensible Soccer (Europe).zip,Sensible Soccer - European Champions,eu,992,72
"Shadow Dancer - The Secret of Shinobi ~ Shadow Dancer (Europe, Brazil).zip",Shadow Dancer,,825,
"Shadow of the Beast (Europe, Brazil).zip",Shadow Of The Beast,,882,58
"Shanghai (USA, Europe).zip",Shanghai,"us,eu",973,
"Shinobi (USA, Europe, Brazil) (Rev 1).zip",Shinobi,,761,
"Shooting Gallery (USA, Europe, Brazil).zip",Shooting Gallery,,18524,55
"Simpsons, The - Bart vs. the Space Mutants (Europe, Brazil).zip","Simpsons - Bart Vs The Space Mutants, The",,792,69
"Simpsons, The - Bart vs. the World (Europe, Brazil).zip","Simpsons - Bart Vs The World, The",,951,64
"Slap Shot (USA, Brazil).zip",Slap Shot,,917,50
"Smurfs, The (Europe, Brazil) (En,Fr,De,Es).zip",Smurfs,,828,
Solomon no Kagi - Oujo Rihita no Namida (Japan).zip,Solomon No Kagi - Oujo Rihita No Namida,jp,884,82
"Sonic Chaos (Europe, Brazil).zip",Sonic Chaos,,775,51
"Sonic Spinball (Europe, Brazil).zip",Sonic Spinball,,916,57
"Sonic The Hedgehog 2 (Europe, Brazil) (Rev 1).zip",Sonic The Hedgehog 2,,756,58
"Sonic The Hedgehog (USA, Europe, Brazil).zip",Sonic The Hedgehog,,755,
Sonic's Edusoft (Unknown) (Proto).zip,Sonic's Edusoft,,44281,58
Space Gun (Europe).zip,Space Gun,eu,985,58
"Space Harrier 3-D ~ Space Harrier 3D (USA, Europe, Brazil).zip",Space Harrier 3d,,901,61
"Space Harrier (Japan, USA).zip",Space Harrier,"us,jp",878,
Special Criminal Investigation (Europe).zip,Special Criminal Investigation,eu,956,82
Speedball 2 (Europe).zip,Speedball 2,eu,843,63
