system,path,name,ssId,region,desc,rating,releasedate,developer,publisher,genre,players,3dboxes,physicalmedia,marquees,videos,screenshots,titlescreens,fanarts
atari2600,BASIC Programming (Europe).zip,Yes,51156,eu,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,BASIC Programming (USA).zip,Yes,51156,us,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Basketball (Europe).zip,Yes,14024,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Basketball (USA).zip,Yes,14024,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Battlezone (Europe).zip,Yes,37682,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,"Battlezone (Japan, USA).zip",Yes,37682,"us,jp",Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,"Battlezone (Japan, USA) (Beta) (1983-05-02).zip",Yes,37682,"us,jp",Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,"Battlezone (Japan, USA) (Beta) (1983-05-12).zip",Yes,37682,"us,jp",Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Beamrider (Europe).zip,Yes,14015,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Beamrider (USA).zip,Yes,14015,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Beany Bopper (Brazil) (Unl).zip,Yes,37683,br,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Beany Bopper (USA).zip,Yes,37683,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Beat'Em & Eat'Em (Brazil) (Unl).zip,Yes,51157,br,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Beat'Em & Eat'Em (Europe).zip,Yes,51157,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Beat'Em & Eat'Em (USA).zip,Yes,51157,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Berenstain Bears (USA).zip,Yes,37685,us,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Bermuda Triangle (Europe).zip,Yes,37686,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Bermuda Triangle (USA).zip,Yes,37686,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Berzerk (Brazil) (Unl).zip,Yes,37687,br,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Berzerk (Europe).zip,Yes,37687,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,"Berzerk (Japan, USA).zip",Yes,37687,"us,jp",Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Big Bird's Egg Catch (Europe).zip,Yes,14011,eu,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
